company_name,trips_amount
Flash Cab,253347
Taxi Affiliation Services,147530
Yellow Cab,129727
Medallion Leasin,121119
Taxi Affiliation Service Yellow,116632
Chicago Carriage Cab Corp,112087
City Service,104124
Star North Management LLC,91322
Sun Taxi,89605
Blue Ribbon Taxi Association Inc.,72414
Choice Taxi Association,58715
Globe Taxi,56925
Dispatch Taxi Affiliation,39476
Nova Taxi Affiliation Llc,35013
Blue Diamond,26256
Checker Taxi Affiliation,25672
Patriot Taxi Dba Peace Taxi Associat,25652
Chicago Medallion Management,22251
Checker Taxi,20194
24 Seven Taxi,19030
Chicago Medallion Leasing INC,18825
American United,17614
Chicago Independents,15427
KOAM Taxi Association,14676
Top Cab Affiliation,12325
Chicago Taxicab,11820
Gold Coast Taxi,5622
Service Taxi Association,4211
303 Taxi,3292
5 Star Taxi,3025
Setare Inc,2940
American United Taxi Affiliation,2545
Leonard Cab Co,2210
Metro Jet Taxi A,1878
Norshore Cab,1721
1085 - 72312 N and W Cab Co,409
1469 - 64126 Omar Jada,408
3011 - 66308 JBL Cab Inc.,407
6743 - 78771 Luhak Corp,398
0118 - 42111 Godfrey S.Awir,386
6574 - Babylon Express Inc.,318
3591 - 63480 Chuks Cab,315
5006 - 39261 Salifu Bawa,293
6742 - 83735 Tasha ride inc,280
2092 - 61288 Sbeih company,268
3623 - 72222 Arrington Enterprises,235
2809 - 95474 C & D Cab Co Inc.,224
2733 - 74600 Benny Jona,199
2192 - 73487 Zeymane Corp,188
4615 - 83503 Tyrone Henderson,184
5874 - 73628 Sergey Cab Corp.,178
3094 - 24059 G.L.B. Cab Co,176
Chicago Star Taxicab,170
Metro Group,156
3620 - 52292 David K. Cab Corp.,153
