trip_id,cab_id,start_ts,end_ts,duration_seconds,distance_miles,pickup_location_id,dropoff_location_id
1,1514,2017-11-07 21:00,2017-11-07 21:00,81,0.04,0,0
2,1514,2017-11-18 21:00,2017-11-18 21:00,671,0.65,0,0
3,1768,2017-11-03 14:00,2017-11-03 15:00,318,0.9,0,0
4,4274,2017-11-24 4:00,2017-11-24 4:00,115,0.4,0,0
5,3970,2017-11-12 3:00,2017-11-12 3:00,475,1.6,0,0
6,3987,2017-11-23 22:00,2017-11-23 22:00,267,1.2,0,0
7,4628,2017-11-01 10:00,2017-11-01 10:00,238,0.7,0,0
8,3981,2017-11-16 13:00,2017-11-16 13:00,6,0,0,0
9,3981,2017-11-13 10:00,2017-11-13 10:00,14,0.1,0,0
10,3981,2017-11-28 0:00,2017-11-28 0:00,136,0.8,0,0
11,4643,2017-11-21 13:00,2017-11-21 13:00,1,0,0,0
12,4643,2017-11-21 13:00,2017-11-21 13:00,6,0.1,0,0
13,109,2017-11-28 23:00,2017-11-28 23:00,0,0,0,0
14,1943,2017-11-01 20:00,2017-11-01 20:00,120,0.5,0,0
15,266,2017-11-06 11:00,2017-11-06 11:00,180,0.5,0,0
16,3999,2017-11-15 21:00,2017-11-15 21:00,63,0.3,0,0
17,4640,2017-11-29 11:00,2017-11-29 11:00,269,0.9,0,0
18,4640,2017-11-29 11:00,2017-11-29 11:00,1,0,0,0
19,3953,2017-11-03 19:00,2017-11-03 19:00,453,1.3,0,0
20,3953,2017-11-11 10:00,2017-11-11 10:00,235,0.7,0,0
21,3967,2017-11-01 18:00,2017-11-01 18:00,139,0.2,0,0
22,4002,2017-11-22 2:00,2017-11-22 2:00,2,0,0,0
23,115,2017-11-26 4:00,2017-11-26 4:00,180,0.7,0,0
24,110,2017-11-26 5:00,2017-11-26 5:00,180,0.8,0,0
25,4191,2017-11-28 17:00,2017-11-28 17:00,8,0,0,0
26,66,2017-11-15 3:00,2017-11-15 3:00,240,1.2,0,0
27,95,2017-11-18 16:00,2017-11-18 16:00,0,0,0,0
28,3901,2017-11-02 19:00,2017-11-02 19:00,3,0,0,0
29,1571,2017-11-23 11:00,2017-11-23 11:00,32,0,0,0
30,5054,2017-11-23 11:00,2017-11-23 11:00,32,0,0,0
31,3945,2017-11-02 20:00,2017-11-02 20:00,18,0,0,0
32,3945,2017-11-18 19:00,2017-11-18 19:00,1,0,0,0
33,3991,2017-11-17 22:00,2017-11-17 22:00,3,0,0,0
34,1524,2017-11-18 2:00,2017-11-18 2:00,1200,6,0,0
35,0,2017-11-09 8:00,2017-11-09 8:00,0,0,0,0
36,0,2017-11-02 8:00,2017-11-02 8:00,0,0,0,0
37,1584,2017-11-24 12:00,2017-11-24 12:00,259,0.93,0,0
38,103,2017-11-21 9:00,2017-11-21 9:00,0,0,0,0
39,2,2017-11-13 3:00,2017-11-13 3:00,0,0,0,0
40,2,2017-11-28 5:00,2017-11-28 5:00,240,0.6,0,0
41,4107,2017-11-23 21:00,2017-11-23 21:00,131,0.4,0,0
42,4107,2017-11-23 10:00,2017-11-23 10:00,192,0.5,0,0
43,1733,2017-11-09 2:00,2017-11-09 2:00,277,0.8,0,0
44,497,2017-11-08 1:00,2017-11-08 1:00,120,0.7,0,0
45,3972,2017-11-01 12:00,2017-11-01 12:00,482,1.3,0,0
46,83,2017-11-20 2:00,2017-11-20 2:00,300,1.3,0,0
47,1528,2017-11-16 12:00,2017-11-16 13:00,2814,6.6,0,0
48,45,2017-11-09 16:00,2017-11-09 16:00,300,0.8,0,0
49,58,2017-11-23 4:00,2017-11-23 4:00,1380,2.1,0,0
50,58,2017-11-24 6:00,2017-11-24 6:00,0,0,0,0
51,58,2017-11-27 4:00,2017-11-27 4:00,0,0,0,0
52,58,2017-11-27 4:00,2017-11-27 4:00,120,0,0,0
53,58,2017-11-19 4:00,2017-11-19 4:00,240,1.1,0,0
54,58,2017-11-20 2:00,2017-11-20 2:00,180,0.9,0,0
55,61,2017-11-15 16:00,2017-11-15 16:00,0,0,0,0
56,4632,2017-11-21 2:00,2017-11-21 2:00,554,1.9,0,0
57,692,2017-11-01 12:00,2017-11-01 12:00,0,0,0,0
58,1548,2017-11-25 16:00,2017-11-25 16:00,42,0,0,0
59,4613,2017-11-21 13:00,2017-11-21 13:00,157,0.5,0,0
60,1551,2017-11-23 16:00,2017-11-23 17:00,600,1,0,0
61,31,2017-11-11 4:00,2017-11-11 4:00,360,0,0,0
62,131,2017-11-05 12:00,2017-11-05 12:00,360,0.9,0,0
63,1500,2017-11-05 20:00,2017-11-05 20:00,401,1.12,0,0
64,3909,2017-11-06 4:00,2017-11-06 4:00,681,1.2,0,0
65,3909,2017-11-20 1:00,2017-11-20 1:00,541,0.8,0,0
66,3909,2017-11-23 2:00,2017-11-23 2:00,469,1.8,0,0
